time,data,noise,global_outlier,constant
2023-08-26 00:47:40+00:00,3.783,False,False,False
2023-08-26 00:47:50+00:00,3.462,False,False,False
2023-08-26 00:48:00+00:00,3.462,False,False,False
2023-08-26 00:48:10+00:00,3.864,False,False,False
2023-08-26 00:48:20+00:00,3.864,False,False,False
2023-08-26 00:48:30+00:00,3.836,False,False,False
2023-08-26 00:48:40+00:00,3.836,False,False,False
2023-08-26 00:48:50+00:00,2.897,False,False,False
2023-08-26 00:49:00+00:00,2.897,False,False,False
2023-08-26 00:49:10+00:00,4.676,False,False,False
2023-08-26 00:49:20+00:00,3.75,False,False,False
2023-08-26 00:49:30+00:00,3.75,False,False,False
2023-08-26 00:49:40+00:00,3.75,False,False,False
2023-08-26 00:49:50+00:00,3.461,False,False,False
2023-08-26 00:50:00+00:00,9.779,False,False,False
2023-08-26 00:50:10+00:00,9.779,False,False,False
2023-08-26 00:50:20+00:00,4.974,False,False,False
2023-08-26 00:50:30+00:00,4.974,False,False,False
2023-08-26 00:50:40+00:00,4.585,False,False,False
2023-08-26 00:50:50+00:00,4.585,False,False,False
2023-08-26 00:51:00+00:00,4.444,False,False,False
2023-08-26 00:51:10+00:00,4.444,False,False,False
2023-08-26 00:51:20+00:00,3.289,False,False,False
2023-08-26 00:51:30+00:00,3.067,False,False,False
2023-08-26 00:51:40+00:00,3.067,False,False,False
2023-08-26 00:51:50+00:00,4.37,False,False,False
2023-08-26 00:52:00+00:00,4.37,False,False,False
2023-08-26 00:52:10+00:00,3.57,False,False,False
2023-08-26 00:52:20+00:00,3.57,False,False,False
2023-08-26 00:52:30+00:00,3.836,False,False,False
2023-08-26 00:52:40+00:00,3.836,False,False,False
2023-08-26 00:52:50+00:00,4.411,False,False,False
2023-08-26 00:53:00+00:00,3.675,False,False,False
2023-08-26 00:53:10+00:00,3.675,False,False,False
2023-08-26 00:53:20+00:00,3.675,False,False,False
2023-08-26 00:53:30+00:00,5.597,False,False,False
2023-08-26 00:53:40+00:00,3.781,False,False,False
2023-08-26 00:53:50+00:00,3.781,False,False,False
2023-08-26 00:54:00+00:00,2.329,False,False,False
2023-08-26 00:54:10+00:00,2.329,False,False,False
2023-08-26 00:54:20+00:00,2.928,False,False,False
2023-08-26 00:54:30+00:00,2.928,False,False,False
2023-08-26 00:54:40+00:00,3.166,False,False,False
2023-08-26 00:54:50+00:00,3.166,False,False,False
2023-08-26 00:55:00+00:00,4.285,False,False,False
2023-08-26 00:55:10+00:00,3.462,False,False,False
2023-08-26 00:55:20+00:00,3.462,False,False,False
2023-08-26 00:55:30+00:00,4.513,False,False,False
2023-08-26 00:55:40+00:00,4.513,False,False,False
2023-08-26 00:55:50+00:00,4.24,False,False,False
2023-08-26 00:56:00+00:00,4.24,False,False,False
2023-08-26 00:56:10+00:00,3.32,False,False,False
2023-08-26 00:56:20+00:00,3.32,False,False,False
2023-08-26 00:56:30+00:00,4.216,False,False,False
2023-08-26 00:56:40+00:00,4.513,False,False,False
2023-08-26 00:56:50+00:00,4.513,False,False,False
2023-08-26 00:57:00+00:00,4.513,False,False,False
2023-08-26 00:57:10+00:00,2.787,False,False,False
2023-08-26 00:57:20+00:00,3.931,False,False,False
2023-08-26 00:57:30+00:00,3.931,False,False,False
2023-08-26 00:57:40+00:00,3.647,False,False,False
2023-08-26 00:57:50+00:00,3.647,False,False,False
